MERCADO;MERCADO_GN
NEW BUCARAMANGA METRO SUP MIN TRA 72;NEW BUCARAMANGA METRO SUP MIN TRA 72
CALI METRO SUP MIN TRA;CALI METRO SUP MIN TRA
NEW CALI METRO SUP MIN TRA 72;NEW CALI METRO SUP MIN TRA 72
MEDELLIN METRO SUP MIN TRA;MEDELLIN METRO SUP MIN TRA
NEW MEDELLIN METRO SUP MIN TRA 72;NEW MEDELLIN METRO SUP MIN TRA 72
PEREIRA METRO SUP MIN TRA;PEREIRA METRO SUP MIN TRA
NEW PEREIRA METRO SUP MIN TRA 72;NEW PEREIRA METRO SUP MIN TRA 72
VILLAVICENCIO METRO SUP MIN TRA;VILLAVICENCIO METRO SUP MIN TRA
NEW VILLAVICENCIO METRO SUP MIN TRA 72;NEW VILLAVICENCIO METRO SUP MIN TRA 72
10 CIUDADES TRADICIONALES;10 CIUDADES TRADICIONALES
10 CIUDADES TRADICIONALES PEQUENAS;10 CIUDADES TRADICIONALES PEQUENAS
10 CIUDADES TRADICIONALES GRANDES;10 CIUDADES TRADICIONALES GRANDES
B/QUILLA TRADICIONALES;B/QUILLA TRADICIONALES
B/QUILLA TRADICIONALES PEQUENAS;B/QUILLA TRADICIONALES PEQUENAS
B/QUILLA TRADICIONALES GRANDES;B/QUILLA TRADICIONALES GRANDES
BOGOTA TRADICIONALES;BOGOTA TRADICIONALES
BOGOTA TRADICIONALES PEQUENAS;BOGOTA TRADICIONALES PEQUENAS
BOGOTA TRADICIONALES GRANDES;BOGOTA TRADICIONALES GRANDES
BUCARAMANGA TRADICIONALES;BUCARAMANGA TRADICIONALES
BUCARAMANGA TRADICIONALES PEQUENAS;BUCARAMANGA TRADICIONALES PEQUENAS
BUCARAMANGA TRADICIONALES GRANDES;BUCARAMANGA TRADICIONALES GRANDES
CALI TRADICIONALES;CALI TRADICIONALES
CALI TRADICIONALES PEQUENAS;CALI TRADICIONALES PEQUENAS
CALI TRADICIONALES GRANDES;CALI TRADICIONALES GRANDES
CARTAGENA TRADICIONALES;CARTAGENA TRADICIONALES
CARTAGENA TRADICIONALES PEQUENAS;CARTAGENA TRADICIONALES PEQUENAS
CARTAGENA TRADICIONALES GRANDES;CARTAGENA TRADICIONALES GRANDES
CUCUTA TRADICIONALES;CUCUTA TRADICIONALES
CUCUTA TRADICIONALES PEQUENAS;CUCUTA TRADICIONALES PEQUENAS
CUCUTA TRADICIONALES GRANDES;CUCUTA TRADICIONALES GRANDES
IBAGUE TRADICIONALES;IBAGUE TRADICIONALES
IBAGUE TRADICIONALES PEQUENAS;IBAGUE TRADICIONALES PEQUENAS
IBAGUE TRADICIONALES GRANDES;IBAGUE TRADICIONALES GRANDES
MEDELLIN TRADICIONALES;MEDELLIN TRADICIONALES
MEDELLIN TRADICIONALES PEQUENAS;MEDELLIN TRADICIONALES PEQUENAS
MEDELLIN TRADICIONALES GRANDES;MEDELLIN TRADICIONALES GRANDES
PEREIRA TRADICIONALES;PEREIRA TRADICIONALES
PEREIRA TRADICIONALES PEQUENAS;PEREIRA TRADICIONALES PEQUENAS
PEREIRA TRADICIONALES GRANDES;PEREIRA TRADICIONALES GRANDES
VILLAVICENCIO TRADICIONALES;VILLAVICENCIO TRADICIONALES
VILLAVICENCIO TRADICIONALES PEQUENAS;VILLAVICENCIO TRADICIONALES PEQUENAS
VILLAVICENCIO TRADICIONALES GRANDES;VILLAVICENCIO TRADICIONALES GRANDES
BOGOTA NORTE SUP MIN TRA;BOGOTA NORTE SUP MIN TRA
NEW BOGOTA NORTE SUP MIN TRA 72;NEW BOGOTA NORTE SUP MIN TRA 72
BOGOTA SUR SUP MIN TRA;BOGOTA SUR SUP MIN TRA
NEW BOGOTA SUR SUP MIN TRA 72;NEW BOGOTA SUR SUP MIN TRA 72
BOGOTA ORIENTE SUP MIN TRA;BOGOTA ORIENTE SUP MIN TRA
NEW BOGOTA ORIENTE SUP MIN TRA 72;NEW BOGOTA ORIENTE SUP MIN TRA 72
BOGOTA OCCIDENTE SUP MIN TRA;BOGOTA OCCIDENTE SUP MIN TRA
NEW BOGOTA OCCIDENTE SUP MIN TRA 72;NEW BOGOTA OCCIDENTE SUP MIN TRA 72
BOGOTA NORTE TRADICIONALES;BOGOTA NORTE TRADICIONALES
BOGOTA SUR TRADICIONALES;BOGOTA SUR TRADICIONALES
BOGOTA ORIENTE TRADICIONALES;BOGOTA ORIENTE TRADICIONALES
BOGOTA OCCIDENTE TRADICIONALES;BOGOTA OCCIDENTE TRADICIONALES
CALI NORTE SUP MIN TRA;CALI NORTE SUP MIN TRA
NEW CALI NORTE SUP MIN TRA 72;NEW CALI NORTE SUP MIN TRA 72
CALI SUR SUP MIN TRA;CALI SUR SUP MIN TRA
NEW CALI SUR SUP MIN TRA 72;NEW CALI SUR SUP MIN TRA 72
CALI ORIENTE SUP MIN TRA;CALI ORIENTE SUP MIN TRA
NEW CALI ORIENTE SUP MIN TRA 72;NEW CALI ORIENTE SUP MIN TRA 72
MEDELLIN NORTE SUP MIN TRA;MEDELLIN NORTE SUP MIN TRA
NEW MEDELLIN NORTE SUP MIN TRA 72;NEW MEDELLIN NORTE SUP MIN TRA 72
