MARCA;MARCA_GN
CACAO VITAL/POLVO/SIN SABOR;CACAO VITAL
CACAO VITAL/POLVO/SIN SABORCACAO VITAL/POLVO/141 200 GRS;CACAO VITAL
CACAOS/BARRA/SIN SABOR;CACAOS
CACAOS/BARRA/SIN SABORCACAOS/BARRA/500 O MAS GRS;CACAOS
CALENTANO/BARRA/CLAVOS Y CANELA;CALENTANO
CALENTANO/BARRA/CLAVOS Y CANELACALENTANO/BARRA/250 374 GRS;CALENTANO
CALENTANO/BARRA/CLAVOS Y CANELACALENTANO/BARRA/500 O MAS GRS;CALENTANO
CALENTANO/BARRA/OTROS SABORES;CALENTANO
CALENTANO/BARRA/OTROS SABORESCALENTANO/BARRA/250 374 GRS;CALENTANO
CALENTANO/BARRA/OTROS SABORESCALENTANO/BARRA/500 O MAS GRS;CALENTANO
CAMINOS REALES/BARRA/SIN SABOR;CAMINOS REALES
CAMINOS REALES/BARRA/SIN SABORCAMINOS REALES/BARRA/500 O MAS GRS;CAMINOS REALES
CARARE/BARRA/SIN SABOR;CARARE
CARARE/BARRA/SIN SABORCARARE/BARRA/250 374 GRS;CARARE
CASERITO/BARRA/SIN SABOR;CASERITO
CASERITO/BARRA/SIN SABORCASERITO/BARRA/126 249 GRS;CASERITO
CASERITO/BARRA/SIN SABORCASERITO/BARRA/500 O MAS GRS;CASERITO
CASERITO/BARRA/VAINILLA;CASERITO
CASERITO/BARRA/VAINILLACASERITO/BARRA/500 O MAS GRS;CASERITO
CHOCO ANDES/BARRA/SIN SABOR;CHOCO ANDES
CHOCO ANDES/BARRA/SIN SABORCHOCO ANDES/BARRA/33 125 GRS;CHOCO ANDES
CHOCO ARTESANO/BARRA/SIN SABOR;CHOCO ARTESANO
CHOCO ARTESANO/BARRA/SIN SABORCHOCO ARTESANO/BARRA/0 25 GRS;CHOCO ARTESANO
CHOCO ARTESANO/BARRA/SIN SABORCHOCO ARTESANO/BARRA/500 O MAS GRS;CHOCO ARTESANO
CHOCO DIA/BARRA/CLAVOS Y CANELA;CHOCO DIA
CHOCO DIA/BARRA/CLAVOS Y CANELACHOCO DIA/BARRA/500 O MAS GRS;CHOCO DIA
CHOCO DIA/BARRA/SIN SABOR;CHOCO DIA
CHOCO DIA/BARRA/SIN SABORCHOCO DIA/BARRA/250 374 GRS;CHOCO DIA
CHOCO DIA/BARRA/SIN SABORCHOCO DIA/BARRA/500 O MAS GRS;CHOCO DIA
CHOCO EXPRESS/POLVO/CLAVOS Y CANELA;CHOCO EXPRESS
CHOCO EXPRESS/POLVO/CLAVOS Y CANELACHOCO EXPRESS/POLVO/141 200 GRS;CHOCO EXPRESS
CHOCO EXPRESS/POLVO/CLAVOS Y CANELACHOCO EXPRESS/POLVO/201 260 GRS;CHOCO EXPRESS
CHOCO EXPRESS/POLVO/CLAVOS Y CANELACHOCO EXPRESS/POLVO/33 125 GRS;CHOCO EXPRESS
CHOCO EXPRESS/POLVO/SIN SABOR;CHOCO EXPRESS
CHOCO EXPRESS/POLVO/SIN SABORCHOCO EXPRESS/POLVO/0 25 GRS;CHOCO EXPRESS
CHOCO EXPRESS/POLVO/SIN SABORCHOCO EXPRESS/POLVO/141 200 GRS;CHOCO EXPRESS
CHOCO EXPRESS/POLVO/SIN SABORCHOCO EXPRESS/POLVO/201 260 GRS;CHOCO EXPRESS
CHOCO EXPRESS/POLVO/SIN SABORCHOCO EXPRESS/POLVO/33 125 GRS;CHOCO EXPRESS
CHOCO EXPRESS/POLVO/SIN SABORCHOCO EXPRESS/POLVO/401 O MAS GRS;CHOCO EXPRESS
CHOCO LATINO/BARRA/SIN SABOR;CHOCO LATINO
CHOCO LATINO/BARRA/SIN SABORCHOCO LATINO/BARRA/375 499 GRS;CHOCO LATINO
